record_dt,covid_cases,new_covid_cases,covid_growth_rate,num_flight_change_percent,us_gas_price,deaths
2020-05-11,4252290,74193,-0.070554338,-0.684,,287183
2020-05-12,4337445,85155,0.147749788,,,292744
2020-05-13,4425666,88221,0.036004932,,,298108
2020-05-14,4522009,96343,0.092064248,,,303463
2020-05-15,4621410,99401,0.03174076,,,308542
2020-05-16,4717009,95599,-0.038249112,,,312902
2020-05-17,4799266,82257,-0.139562129,,,316520
2020-05-18,4888124,88858,0.080248489,-0.676,1.969,319965
2020-05-19,4982937,94813,0.067017038,,,324554
2020-05-20,5085449,102512,0.081201945,,,329239
2020-05-21,5192530,107081,0.044570392,,,334166
2020-05-22,5300051,107521,0.004109039,,,339423
2020-05-23,5399989,99938,-0.070525758,,,343603
2020-05-24,5496494,96505,-0.034351298,,,346427
2020-05-25,5586306,89812,-0.069353919,-0.686,2.049,347606
2020-05-26,5678128,91822,0.022380083,,,351654
2020-05-27,5784603,106475,0.159580493,,,356937
2020-05-28,5900907,116304,0.092312749,,,361549
2020-05-29,6026380,125473,0.078836497,,,366422
2020-05-30,6150483,124103,-0.010918684,,,370506
